,tau,model1,model2,model3,model4,model5,model6,model7,model8,GB1,GB2
0,0.01,1.4180754168902139,1.463342792826981,1.488466847356798,1.173222448418256,1.221210129799651,1.2505973676234148,1.159674853331406,1.554149341346041,1.820696092501718,1.7707833684312602
1,0.02,2.5834977380152035,2.6850721290195945,2.663396371641636,2.2174424747028407,2.1943512269591623,2.374415987239365,2.221298403515381,2.840915498159698,3.4409620312321265,3.434218785374709
2,0.03,3.8306197417987886,3.9379486811529154,3.9354877355712796,3.2506115169672376,3.0505614423552956,3.461791520609624,3.28602477949184,3.810516879176669,5.086267413685466,5.111941599723322
3,0.04,4.883450784510092,5.257587366623378,5.23270525123304,4.094141878663762,3.918789429095255,4.53436236646214,4.190484973657765,4.475408854347076,6.440213192704706,6.477956069355433
4,0.05,6.044472031489872,6.267182306465736,6.364589056319264,5.040901271823335,4.710157218340248,5.428974202280536,5.070022204100033,5.021615781192549,7.882850037852201,7.947416185847938
5,0.060000000000000005,7.2140406523830904,7.461325762775537,7.579816831950922,5.919590010140251,5.5493784657088066,6.211120173270414,5.876106247954754,5.660141404752361,9.32203731654731,9.323691408343034
6,0.06999999999999999,8.167141585195724,8.613230032030277,8.384833883213132,6.644475565424111,6.230484458801871,7.175808509253264,6.830814577627208,6.1183161142173415,10.859859827864748,10.824543015008214
7,0.08,9.085274308613062,9.619964129105139,9.553592229176427,7.415879870371838,7.029193842626726,8.166654633516739,7.5689450772185705,6.565976677664245,11.992633503250175,12.03663645125944
8,0.09,9.924815042455705,10.677912894366399,10.711008895576176,8.244823236056188,7.541301077192582,9.15554346717211,8.277933848213856,6.986560209498652,13.476944290636618,13.529115287876495
9,0.09999999999999999,10.478196465549777,11.790662945067838,11.860114679543205,8.72959822033537,8.033419052010839,10.045559041718967,8.985450851935106,7.398356957498356,14.586203491724325,15.022620951260444
10,0.11,10.934681217812418,12.848406655214733,12.989842230802992,9.549206712821546,8.656071562629233,10.787279455689431,9.58991901356935,7.801854408508446,15.851426917166425,16.151958032483844
11,0.12,11.56400332257471,13.88257272050643,13.912795811420981,10.222860249368512,9.148027993374907,11.594949788982818,10.152549455668527,8.236835022941772,17.526468837469842,17.5606436484758
12,0.13,12.112328947510278,14.801250149427863,14.895071120915578,10.89395688300495,9.59423259112029,12.41983194987951,10.990220307229281,8.704689984535015,18.600534500600528,18.895190735207102
13,0.14,12.799837227343344,15.644762779461498,15.548530078274894,11.434607350937295,10.010395276807381,13.290123780465095,11.785401107971378,9.041578268651833,19.883744472594646,20.009027976004713
14,0.15000000000000002,13.666313212515918,16.085758941983183,15.86190555488553,12.044266376912624,10.602612987667683,13.770466070727354,12.459285692731003,9.449382990660245,21.343104065579624,21.053178847240595
15,0.16,13.804163881391405,17.0740290731192,16.419131223082445,12.614978740517682,11.114804027426327,14.167797614589166,12.976523706865377,9.825922674274315,22.447775543630236,22.362297342211814
