,tau,model1,model2,model3,model4,model5,model6,model7,model8,GB1,GB2
0,0.01,0.44818290391849525,0.43833972610822275,0.4505376963856858,0.3758115179723615,0.3864579057400467,0.3994654066506713,0.3857526261491514,0.27474944268275087,0.5454569178267603,0.5070264011788674
1,0.02,0.8125016528212732,0.7789594945136782,0.743135411475862,0.6434300852378436,0.6029024341063475,0.759124432391162,0.6955320477721372,0.4962914984201885,0.9181728407598558,0.905986346529665
2,0.03,1.1709198613891303,1.1201838605398107,1.0821143355724692,0.9215498759413667,0.8339444848227615,1.047582887915021,0.97799508908124,0.7408345613235122,1.273416627671325,1.3090398532814478
3,0.04,1.4705481058521597,1.4622631153888206,1.4324511115816276,1.1251975229775149,1.0529934349471328,1.3564336927081633,1.2277218873618945,0.9099131279463144,1.3669483480789346,1.3977643809630416
4,0.05,1.7859709095128369,1.693986265816143,1.7281439066893622,1.3905219840449652,1.2641754079009961,1.6155303429777799,1.4765010862684647,1.0551209116845761,1.5389535296936268,1.5870472801325841
5,0.060000000000000005,2.0934888281456523,1.9801391580497183,2.0086877864623274,1.6305228659786921,1.487699800671859,1.8236526146107273,1.7232490902568387,1.2501847003725173,1.7062613379930984,1.695445920344024
6,0.06999999999999999,2.342390401544939,2.2681126310854434,2.214377063880134,1.8031890534386696,1.6621057399483896,2.0955209229089498,1.9686822559227997,1.3685940675072665,1.9715997020999558,1.9252664077612405
7,0.08,2.5824667104542964,2.529672814723848,2.490730207137889,1.9869683816935488,1.8925692186590974,2.3721459958094417,2.1737856222555227,1.4660717914748058,1.856476134239763,1.8352225517726088
8,0.09,2.785900492428648,2.77837891331426,2.740812837306838,2.188059602101387,2.0283794423857224,2.6364972523389096,2.3836906777910305,1.5509827019641784,2.0577661140563954,2.114256870458266
9,0.09999999999999999,2.9356886663995314,3.0027070756010006,2.9956998162818405,2.31142049526315,2.150370478235079,2.8780146943919305,2.5757995242364697,1.6462434235580157,2.0301102367242736,2.332846718783824
10,0.11,3.069069110658261,3.2418832504796953,3.2296525830980354,2.492270352958718,2.332218524525435,3.0969725426411396,2.7332318825336737,1.743135198771929,2.1341028776890427,2.202132922947827
11,0.12,3.2427039760236767,3.477298201677027,3.4484792945872136,2.6730381136757098,2.4508858384751466,3.298260774822833,2.9161087241475703,1.8477847507309537,2.4736384444509647,2.343903305474666
12,0.13,3.3917650382320113,3.679196154494978,3.653110797768647,2.860194903431677,2.559902759511109,3.5131139028383243,3.157178070955519,1.9908451008688643,2.417252201403603,2.390976230815608
13,0.14,3.569149212817447,3.833032738449765,3.761473238918651,3.0165094911604147,2.673351067439468,3.736726787562143,3.3222351590790393,2.082171635775998,2.4869362094555725,2.368661744076543
14,0.15000000000000002,3.77991369293316,3.913057098438291,3.837215481718252,3.1606903062559626,2.827770334322333,3.8596043760572063,3.510220902325342,2.17077408915479,2.6616081745252016,2.2489779849899385
15,0.16,3.8759647961114765,4.107369654396144,3.9506022216084284,3.316322719296291,2.9655838190555555,3.9941528688767756,3.622433877100574,2.2402644753448113,2.612832465179838,2.2650302294081683
16,0.17,4.018562476366256,4.242156474639027,4.112849171449548,3.4515969522048686,3.0527028681701482,4.249971259247827,3.809210982871623,2.371916384066533,3.0361219016044547,2.4044146618235214
17,0.18000000000000002,4.183388377202205,4.3592802532628685,4.295775424313611,3.5971225834127862,3.1341840902538407,4.471857030009232,3.919484945618532,2.471421779323661,2.424970141636336,2.4563542385852837
18,0.19,4.2657349489418355,4.493584655962364,4.444117085407476,3.7155268136213215,3.237585051025768,4.577738667337289,4.00004153319127,2.551203772445,2.530065402962948,2.4518181298412562
19,0.2,4.349980278935483,4.650020563998205,4.5410321267156,3.837658402223545,3.386847780478905,4.740310877420812,4.169920745386517,2.624363517690899,2.6434938014244027,2.576472409797096
