,tau,model1,model2,model3,model4,model5,model6,model7,model8,GB1,GB2
0,0.01,1.2350819675270572,0.7271020367463533,0.6817636865666193,0.7068373348525939,1.0087547532353733,0.7745585856710852,0.855985015067253,0.8116260122982554,0.630545514752571,0.6625493909217036
1,0.02,1.802720500364896,1.1308871958096134,0.9807654846382458,1.270539545322678,1.400131838807722,1.1051658681991472,1.2150531859766724,1.176731856191452,0.9749376645792334,0.9876776178077922
2,0.03,2.105018997213151,1.57415675467223,1.2994836716273028,1.4633427367443488,1.6215863252262093,1.4053308599059005,1.4915686407996225,1.3969518466632251,1.2952993140699187,1.2773951046352081
3,0.04,2.3870082631087772,1.8535737000806953,1.5591575590767537,1.719100287833094,1.86402507433829,1.6427108861223572,1.6874300302362888,1.6267643875222935,1.3250456488642572,1.3909058219401884
4,0.05,2.6923265385035005,2.097230666507574,1.7848003728166495,1.9456581368016876,2.0467820174852114,1.8546086571075857,1.8836211523695714,1.9122855364901106,1.431432159483252,1.4771248672954285
5,0.060000000000000005,2.9233396396396394,2.349830278462413,2.0015189220537204,2.143072017787181,2.2374781361802816,2.0920943167793435,2.0648470578814893,2.193952037306388,1.6265074462755063,1.5698238355222063
6,0.06999999999999999,3.1271308451656523,2.5596718708035797,2.2386536952964278,2.359086745804611,2.4143152972561364,2.2687951960822117,2.2277300669125206,2.3780040915188843,1.8170379119128381,1.750624719976329
7,0.08,3.298509708688846,2.739545454531887,2.4919227475193972,2.5108856743335717,2.5178668351365245,2.4218110011780287,2.389418811686907,2.482030041927789,1.8318508762027086,1.7901681521815611
8,0.09,3.4542257370889824,2.9174739334129125,2.656453672381103,2.638315402673524,2.6311602118817676,2.558065987001288,2.5655348800742126,2.5856679681318284,2.0492345131803753,1.9272864678328665
9,0.09999999999999999,3.5893533546809415,3.1008414265066473,2.818162741946033,2.741255975549167,2.754375231246356,2.707218440484728,2.7057081142045707,2.689362695615384,1.9996555114765509,2.080846298185
10,0.11,3.71198948949156,3.2647613093778536,2.978172306570801,2.8661652526218604,2.876364976561006,2.8547896168748434,2.8317323993366306,2.799233419908165,2.0656543386628403,2.17961023528555
11,0.12,3.832044951930368,3.4328216467292463,3.1164504092010317,2.964736816168206,2.985451235388275,2.9728972877610427,2.949156483321493,2.9223578757911226,2.1930230786323075,2.318626979343083
12,0.13,3.934473201210783,3.5747377786070174,3.249005294820194,3.0947343828601968,3.0680541609291785,3.0826387476881663,3.0709930585045715,3.010952044655414,2.351965817362843,2.365163743715729
13,0.14,4.035730817733989,3.695003915410712,3.3636138257745407,3.1958790762961957,3.1520840270661497,3.202218308476108,3.1916704929447395,3.10169130446559,2.4945379902842544,2.4907061782617568
14,0.15000000000000002,4.1346833096947675,3.7939557275895672,3.4558828124112764,3.279427113073878,3.231603583185696,3.314667465363131,3.2832228803975396,3.174692572071395,2.5698819925491425,2.609176361571758
15,0.16,4.2167744207702675,3.896368662575032,3.585124450368025,3.3598057132666255,3.3337715251374336,3.4197852099915056,3.377092401199458,3.240296286780803,2.4507158353634146,2.589166238842683
16,0.17,4.308023410611078,4.024430213240361,3.6913241947639084,3.433957481184631,3.407185811984724,3.5160586455830396,3.469835346625171,3.3052148491415974,2.463098887994115,2.5403625608755815
17,0.18000000000000002,4.385968146360531,4.122546057356635,3.8057285161305887,3.5072554220270478,3.478907487049577,3.600505958697058,3.5646826891854286,3.3576109765728965,2.517905889093104,2.576796050627351
18,0.19,4.460308885751091,4.230847322675974,3.8962230016214847,3.595917656712,3.5523977059213108,3.69944891523983,3.648499886193421,3.422975542880304,2.447940182460959,2.5979614793946566
19,0.2,4.524948282302629,4.311286585848481,3.9822861264103264,3.666492331029539,3.6183382881786423,3.767759284676471,3.7172934011353758,3.4785683223787585,2.434152669818684,2.49891475958761
20,0.21000000000000002,4.592667739379762,4.396192095786382,4.033151663903545,3.739666098274874,3.6817845203455186,3.8572321385790236,3.805890775475184,3.5266702621332966,2.651915836092196,2.577438996174038
21,0.22,4.657128988813125,4.483590835995293,4.127754563519321,3.8216420776736295,3.755163867841561,3.9587142725150293,3.876115426350212,3.565346939321191,2.725458054810428,2.731954274232528
22,0.23,4.7109594788254485,4.559804831251546,4.209860034050003,3.865242681723623,3.8064879566258094,4.03619987065003,3.95241937724586,3.5739063495941,2.797721456917242,2.559625311867369
23,0.24000000000000002,4.75563699969611,4.631234746169156,4.292036225299553,3.9451111786425637,3.8532874137083253,4.112049183187632,4.021714295142617,3.613020652698158,2.3167356907366385,2.441192407114335
24,0.25,4.8097656606911166,4.675003848893523,4.374514973907835,3.99828322150603,3.912794412699079,4.185720972040479,4.062253403941338,3.6563530548140015,2.414096103637082,2.480546724784811
25,0.26,4.830858272531863,4.732446793965634,4.480592925136419,4.045520404144892,3.9636272504529995,4.265780315867274,4.108557152764863,3.7000881244949797,2.5218870231089694,2.5355506719979597
26,0.27,4.878228043427659,4.77656093080801,4.562421201914898,4.0982321011380325,4.011251790613434,4.3487933832682595,4.15245771343877,3.7580066737341067,2.525284955783615,2.6352717053758354
27,0.28,4.926471598884944,4.856525130122564,4.624602628215599,4.153133127176641,4.0590744421363505,4.405108002087012,4.190903057460232,3.7822612331922523,2.682200236555257,2.7181908400698114
28,0.29000000000000004,4.972515143760971,4.9137067571069695,4.6733889733665865,4.1909502480742935,4.075645230719979,4.504125744980459,4.2599775003862685,3.7897706324778793,2.698069577813352,2.6170870680341616
29,0.3,5.015378919482325,4.952861170048645,4.714876091036856,4.2164631042123935,4.11135930224877,4.5789413074412515,4.313414519719756,3.7863815414281854,2.735463277709637,2.69315360876846
30,0.31,5.048204835351441,4.972025144143594,4.748201648543416,4.244536102102568,4.1288228823240445,4.629350237886017,4.365868240763067,3.8163579570803567,2.6693338947287946,2.7643194301125145
31,0.32,5.090581522772448,5.039889622204694,4.815509787942881,4.297058973703969,4.158955138201901,4.690353509314311,4.428206871884913,3.7805599640385386,2.7385964617937373,2.91377934163401
32,0.33,5.130819729586073,5.095960156924655,4.8420396478979,4.285413640441505,4.182353436051458,4.7112012856438845,4.4751376744478115,3.7895209432849124,2.8748416274131863,2.9343939576955256
33,0.34,5.174771560843479,5.151187354744673,4.92917981673441,4.308933115832066,4.216040325354943,4.7460083927745575,4.51767459006729,3.790492462668245,2.8503529075763727,3.0162420749692798
34,0.35000000000000003,5.206692616255325,5.214516509069085,4.991131237465683,4.33346096695954,4.248731945096189,4.813394693077414,4.570010686326744,3.78930749752035,2.7713850091572163,2.9818338842495025
35,0.36000000000000004,5.229727926414381,5.265555140860183,5.052965556179265,4.378400488097478,4.277096987770713,4.867147649503544,4.608585756653553,3.8135876558630804,2.7180881182908148,2.715759600164927
36,0.37,5.257656816876355,5.279822686203294,5.1368044228316,4.3916148954192575,4.289207791358977,4.8990340789547995,4.667447480157197,3.806501284048675,2.99843633613405,2.8861261495732107
37,0.38,5.279220018854926,5.279967338740079,5.191757530117856,4.425223187351876,4.31753352244698,4.93959566894881,4.6433206281405885,3.793707925932453,2.84530880016416,2.9088157225950204
38,0.39,5.312001275204148,5.332420840875153,5.239905778255581,4.462695520278474,4.344056515746997,4.9435774246444515,4.67494556537161,3.8023352074748322,2.880401451128971,2.9287174115931456
39,0.4,5.341387996767619,5.3971574946383205,5.269150354972423,4.4958974220500245,4.369312396279467,4.978110719533111,4.7308731116200375,3.798983426934658,2.833109409111542,3.083266494794137
40,0.41000000000000003,5.372277518059151,5.4604505266511385,5.315275777605286,4.501932577407779,4.40603532165874,5.031538052938226,4.753933360611939,3.8073273437535495,3.0390150368265947,2.879408892078209
41,0.42000000000000004,5.409647174345098,5.465863642215043,5.365668920188452,4.5453908947929555,4.432206673015476,5.0740848441591915,4.798102063900252,3.8210356119432505,3.1890162660007286,2.897882893569182
42,0.43,5.424797442822062,5.506528714369907,5.404196804217896,4.588315854606546,4.459602917336887,5.136985911524132,4.832046918586847,3.830549326604742,3.193284483392784,3.0497239688991953
43,0.44,5.456592181084483,5.535477250699792,5.443124935416493,4.601137024364878,4.492438743117034,5.173674618825496,4.855734038930513,3.8254065266190973,2.9779904270121516,3.097577282585329
44,0.45,5.471904926108376,5.592264252126079,5.462370087127284,4.626050182773076,4.493852423797113,5.206216872173603,4.861534022642361,3.801159055096964,3.097285604331105,2.977872551020811
45,0.46,5.470079264108895,5.606551521541856,5.496412108885579,4.663780341213365,4.488185551700561,5.267340770508341,4.8392273221021975,3.829736286732339,3.1682227746311455,2.9476382676846713
46,0.47000000000000003,5.490931930477749,5.644872837281823,5.495582416303426,4.699745098704384,4.498409137294825,5.300092167382848,4.872108344124764,3.839801804844036,3.091497604200382,3.0604141171211
47,0.48000000000000004,5.498002644089158,5.6567720975385205,5.509482043389051,4.732117710035406,4.514789141442909,5.286377826304703,4.923861037369827,3.778639889289422,3.050400217577445,3.062891189474327
48,0.49,5.518695130137633,5.674578274092905,5.540930850737887,4.76484186639409,4.525963029214193,5.326070980560644,4.925189931888535,3.781282356705164,3.0550268524491457,3.097501036126346
49,0.5,5.531085836114203,5.668351334314589,5.591528306141236,4.761616615263576,4.543065321443498,5.329158602794725,4.931393579667502,3.7558278866732184,3.1236775226767324,3.167948652959627
50,0.51,5.535188730605539,5.66742581933914,5.6451314223596745,4.767899120194196,4.54519312821422,5.321696205779442,4.931163717764226,3.7465994976065975,3.084236179246325,3.021247337971679
51,0.52,5.548071187441299,5.718657618173306,5.6574642490483775,4.76532162965882,4.561428160089761,5.310946160158907,5.004542090161558,3.7195936563520466,3.1912959044312306,2.9398622465234086
52,0.53,5.537147794346077,5.733077844526013,5.686497957964484,4.753289124267698,4.584641696469214,5.353424127703664,4.990597652707618,3.6820474217392793,2.868234524922079,3.2530926964682836
53,0.54,5.549650189187419,5.805813639831568,5.74782836307688,4.7462069125691695,4.581826886301618,5.31793229761372,4.969306657990709,3.6711942168300835,3.1195853482768854,3.192509076799476
54,0.55,5.558596109928427,5.812993091641838,5.759849161576576,4.798316153798212,4.522793191537483,5.39480905981242,4.961409183535726,3.6256827236244713,3.247501737965393,3.0201939647760976
55,0.56,5.54729471917788,5.8089617652738,5.808304233097667,4.841863643261754,4.545121229386736,5.4611606687852525,4.984843590508414,3.582102247398129,3.173686370185784,2.649997360795287
56,0.5700000000000001,5.530616925628095,5.821639461372889,5.813995684580543,4.858982291826628,4.551108946641587,5.475125098257924,5.0147909022585795,3.6069035179347444,2.776341539603669,2.5825566107654727
57,0.5800000000000001,5.5088267101939,5.841062705819018,5.8463369280874105,4.890720780124249,4.544092661616078,5.608858497394059,4.986026842043562,3.580646699240207,2.884883333498653,3.093714026736486
58,0.59,5.5023464899425285,5.805749356697339,5.860105340670227,4.909072828282761,4.525379129768089,5.627029216769675,4.993263943166282,3.519424603813836,2.8673370463237005,3.0705752126546026
59,0.6,5.493406489463603,5.829949441531921,5.883271235671572,4.929608430769095,4.553587937018507,5.64821981403971,5.017780112621713,3.484178968586854,2.682752809402785,2.9067343983088665
60,0.61,5.48401480818706,5.846406672029693,5.966014258567453,4.933664340060443,4.545570309973163,5.71139224918981,5.086632138356699,3.389517600745195,2.689605538384936,2.840233232563445
61,0.62,5.485592519090896,5.734060590596297,6.018440532705476,4.9346875915978865,4.542869895026691,5.738421365666901,5.079676929714601,3.341007095376186,2.739127802155905,2.9045240734624826
62,0.63,5.444464937660868,5.748335245820438,6.037216747193212,4.875599955764586,4.53527494586415,5.7127317468034615,5.066863014131184,3.3642684325582928,2.6374879184243047,2.8976070891427086
63,0.64,5.442842353801605,5.753498746211744,6.048142305014999,4.824256592551156,4.531389131282084,5.566997073028639,5.0496039046843855,3.2836901101132527,2.5849959775915416,2.9366148248193595
64,0.65,5.439785851122059,5.764226401401537,6.077755884466625,4.84425755141257,4.527914519400272,5.595399826931339,5.131712007517539,3.212646144023668,2.6074072461464985,2.958933518162238
65,0.66,5.432924004355245,5.7579967908744445,6.094365246737545,4.835445096272816,4.52794833247833,5.565241434763061,5.128898514374912,3.1244029689243824,2.6008962372283237,2.9532976081606295
66,0.67,5.42706942193266,5.750844408164325,6.089798704736249,4.824092513799355,4.501509957379489,5.571432401975457,5.1445239388103765,3.054209465516939,2.1416771158143146,2.6599432134888747
67,0.68,5.40075678823822,5.780436920799375,6.063820365110961,4.876197641487518,4.479356515326971,5.658444969784282,5.094159399315998,3.013203462247105,2.472181351972356,2.4627318288865387
