,tau,model1,model2,model3,model4,model5,model6,model7,model8,GB1,GB2
0,0.01,2.348482648255251,1.406921550757998,1.3652395002291857,1.8385863840993517,4.210511283517445,2.346320634920081,2.490433322137225,3.6291798477757933,1.2056354633586708,1.2264323675419764
1,0.02,3.223168162893576,2.4560395371244943,2.034749525965648,4.005174254265819,5.332223750397903,3.095772153124448,3.9983400846496844,4.071491256940792,2.205938008834071,2.2323456583948094
2,0.03,3.7592828204340862,3.207382211995463,2.7946527052711363,4.17617589014254,5.385739467907498,3.973524782381594,4.611468067276537,4.172874478789043,3.166827427945316,3.1751118359785737
3,0.04,4.2525741521977976,3.8277551957631086,3.426229975156949,5.088626437952529,6.195819062002419,4.324108783134639,4.95421712125057,4.867894658767417,3.8577428778273064,3.925736817744253
4,0.05,4.940309647814049,4.409541425448841,3.974484144118864,5.508342279405686,6.402806406439209,4.62260884667557,5.250194447225368,5.858932384808013,4.638334584092351,4.682993317410373
5,0.060000000000000005,5.669213469206917,4.9492049774025695,4.445719323398652,6.1166030918818795,6.749278739350443,5.05023623225933,5.704800532851803,7.091674696088817,5.468341380930791,5.4787736331065435
6,0.06999999999999999,6.354750235235673,5.428236895808706,4.958761183349651,6.42564295108604,7.321158736688745,5.417038189441824,6.057578418810058,7.431477144591775,6.322364276404243,6.319648609843492
7,0.08,6.781913158757967,5.886516606389106,5.494804623052361,6.803535847407582,7.342481380607688,6.013485085117793,6.374265730180674,7.498292876949737,6.969745064016469,7.034643486485935
8,0.09,7.274834271374701,6.344478949705976,5.911830853059633,7.018750658353629,7.4555221888225764,6.312408149691458,6.64775667033728,7.715622862618386,7.844696450906708,7.811530319676315
9,0.09999999999999999,7.656581306400981,6.800481023993891,6.289508987098103,7.285219263358058,7.6754747651541795,6.622768308747744,6.994365522246581,8.152028148051146,8.43376131762015,8.592653475377244
10,0.11,8.03439608812212,7.2003210730799045,6.741212896068897,7.552793551711438,7.889566713979719,6.971266031823671,7.408378187656002,8.343473477370475,9.16930029990094,9.369741159437263
11,0.12,8.415687898842233,7.610600967400246,7.11379353195999,7.7561305391445545,8.160900936606543,7.2851510213829656,7.645192633343051,8.902750527927813,9.952133189781323,10.13763251220441
12,0.13,8.85974043910312,7.9456047818811575,7.480942010939251,8.238338594765024,8.390363231571172,7.625586606171356,7.879836051670702,9.123523929131798,10.765442005693654,10.81162309034448
13,0.14,9.03962575800156,8.315861418736752,7.791685033376645,8.473699180587312,8.624485918321998,7.923898948757829,8.221607429737425,9.236794870323312,11.571771761354627,11.588336154423944
14,0.15000000000000002,9.238275008077318,8.570312740732343,8.113196699615694,8.655083523690184,8.827084086712393,8.214447048045484,8.375629041022728,9.22879067203466,12.317585359945578,12.374962258921991
15,0.16,9.543523909581674,8.92083482232971,8.4744703660392,8.839103982405222,8.96720821680444,8.473885109208661,8.573641684041595,9.539986501800037,12.786506301850524,12.940105757681552
16,0.17,9.72113596763847,9.27654480099507,8.821006171092977,9.090632198735024,9.185724995583195,8.694233541417388,8.814037697010317,9.777001799598112,13.406829612981157,13.49891036027543
17,0.18000000000000002,9.97894397196929,9.534007512997666,9.168170023779174,9.279745090613494,9.405562031690385,8.94910826334318,9.093626029440598,9.85217253612737,14.096923043677988,14.146361211859592
18,0.19,10.203894622668175,9.864162611781804,9.502296573791668,9.47118192765553,9.611033448298198,9.220612869159792,9.313805209050464,9.95066113507421,14.624465976165268,14.732808594159707
19,0.2,10.458546150061947,10.148175946969262,9.799034120644665,9.701936028957848,9.807353867874792,9.481113859975222,9.588789365464168,10.068326452072581,15.219801265665634,15.212091117142311
20,0.21000000000000002,10.684741740502925,10.45198643178638,10.09746802942012,9.879814111831525,10.04682860861552,9.718030484637106,9.782171599926803,10.239223970943167,16.151862829913043,16.012338296623767
21,0.22,10.90490236537802,10.73601885420508,10.434235627629993,10.094585795362887,10.198391013718416,9.958171801386836,9.977980834255588,10.412340383386232,16.87539199209625,16.8717459462331
22,0.23,11.126918919941737,11.045235517632742,10.728556688196255,10.286622451232653,10.358270117386228,10.173763146283031,10.169803815035083,10.565877839400455,17.585597557677957,17.431727383048706
23,0.24000000000000002,11.347024778545476,11.315260000734247,11.0220686415286,10.500405684424587,10.53418367320262,10.406291427905554,10.356469974054223,10.734732561861705,17.439912643409187,17.786184180323566
24,0.25,11.55122790099646,11.53428557095615,11.341632990840425,10.692888440016713,10.718864274063147,10.635151447306301,10.571821634081589,10.80728272018559,18.204348293263784,18.39810636152002
25,0.26,11.755610297116162,11.781865568461596,11.670766885661175,10.889318329352719,10.899648447969088,10.853623202518808,10.740825703765157,10.912133705907717,18.979658038215543,19.025200834805453
26,0.27,11.947480658267068,11.975917888155454,11.998669136969397,11.103832767381174,11.034856055113515,11.08014254373196,10.926748610966818,11.030820894806972,19.57213894884334,19.55840093782856
27,0.28,12.140508971552022,12.250878467309603,12.212364501182249,11.27371131535595,11.181105193275833,11.272486100801284,11.084775519172156,11.104903501444364,20.415557110176827,20.447349050490484
28,0.29000000000000004,12.332120780381409,12.482576782681525,12.393621788892537,11.413865685527163,11.336805696385722,11.546210358876174,11.27731080478702,11.198228006658471,21.018425831027397,21.04922166239741
29,0.3,12.51902684064914,12.72192985713947,12.596761026451512,11.56813663426636,11.482565541896253,11.79135656536223,11.461403064203033,11.292774238537932,21.643853189258007,21.882679310064358
30,0.31,12.691966924677786,12.915445422626698,12.815992060835045,11.72080693703238,11.6616132482674,11.98855394325906,11.638301456494148,11.378295564764446,22.157582667725148,22.47610099597079
31,0.32,12.883627264883508,13.21053554883659,13.081092836443501,11.88584670947961,11.798782951482057,12.185107340677193,11.809432899497342,11.415226433824657,22.880547945265576,23.131871995119916
32,0.33,13.071131526580114,13.426032709274368,13.299401904261575,12.026715542655978,11.934236449892948,12.34462258094001,12.00072085654268,11.50943632702467,23.691921209425672,23.827954389073867
33,0.34,13.274405655608563,13.680521517890007,13.611247214367,12.174571439979838,12.065301234891242,12.519228630573904,12.143823911314978,11.572897459490676,24.25361440848149,24.5376723164874
34,0.35000000000000003,13.439104523221726,13.92997564270276,13.895539854209789,12.346982806768862,12.199127150893291,12.702326690256836,12.32152308369614,11.631051706225707,24.656960190932534,25.27929779837702
35,0.36000000000000004,13.586459658020674,14.156868530484289,14.182547121209417,12.507103613456833,12.312929930282294,12.925156456120607,12.477834670879899,11.72011321092006,25.22219957088953,25.300309558333907
36,0.37,13.76015151763404,14.32413917814941,14.491340742110351,12.650416845343495,12.427250540499903,13.180024609615998,12.65224313156258,11.799185906010484,26.204349988857953,26.3619443083556
37,0.38,13.882095406043678,14.435228227528462,14.78726666513995,12.811394543108412,12.541443248354513,13.39355759587386,12.801114532358275,11.876046195458569,26.610761081249507,26.948114438446616
38,0.39,14.076132805284152,14.718246005219067,15.087225981581861,12.99875219358399,12.643830815664332,13.564209434682704,12.974458318755534,11.959651377014744,27.252357573018507,27.447418786948933
39,0.4,14.266994358912621,14.9296770250449,15.367233798735178,13.184111943667126,12.774945374309574,13.786411406360644,13.128617940732381,12.031536107788718,27.843561434009995,28.557470621955186
40,0.41000000000000003,14.445576524330978,15.223944518128041,15.674897983400129,13.355890761363591,12.912427736520577,14.010822251053819,13.2751261048636,12.14058447038496,28.736517283236235,28.205755264249117
41,0.42000000000000004,14.638861958778849,15.432451563752728,15.959344088010385,13.49292949427823,13.041098653227195,14.16804568242775,13.468348434084493,12.21274299876433,29.451425486855282,28.973470455177857
42,0.43,14.778457177396549,15.644332513887642,16.340459311213674,13.680460551611516,13.149047255754148,14.39487997690146,13.594951296193788,12.285687228770499,30.152251489022806,29.675911223263263
43,0.44,14.99099495164746,15.781081946702663,16.596943184060684,13.804533894021334,13.292122146470305,14.573391537947508,13.71502915529616,12.321109616922882,30.301345911003423,30.313302278355366
44,0.45,15.120566549570649,16.032853644309426,16.914617432522167,13.989134292300031,13.384163696397646,14.726163445964525,13.825145973143869,12.344518344520186,31.082102669463044,30.539820074132624
45,0.46,15.207295633251134,16.24105444116698,17.11420705701633,14.176972741107843,13.469862152646733,14.990739214088897,13.943364226420066,12.460210284996313,31.77363598617514,31.15267187012145
46,0.47000000000000003,15.39134547264176,16.583782892227642,17.319910034869576,14.406017568106483,13.557487663023103,15.124050330560362,14.145839703517126,12.51832339452889,32.1566279876952,31.80582357175463
47,0.48000000000000004,15.517687051329643,16.786813559786587,17.601799198932163,14.568665486854345,13.688745819401458,15.328166093699775,14.309496036774014,12.432024422084435,32.65774751458855,32.56860330014367
48,0.49,15.740390288506612,16.94982071976094,17.94371152517687,14.797760585208502,13.808861685313381,15.537704378963726,14.465285159597338,12.522062359616461,33.15399582877047,33.093101655088496
49,0.5,15.95231711616428,17.165810267586657,18.179827431515445,15.00284335580488,13.965307468843012,15.762912340141638,14.691653044295945,12.538968278672524,33.96511859124445,33.77355527372041
50,0.51,16.083367817234606,17.37816736149809,18.405979170729676,15.181233261952881,14.035351292599367,15.914320211496575,14.837134180582519,12.55952323256928,34.305112827347536,33.907364734337804
51,0.52,16.25686080755248,17.673054548568796,18.685382518954203,15.354588681618612,14.154130484796427,16.186968650646648,15.038368966607852,12.567209544225273,35.004715849946535,34.28150298765249
52,0.53,16.320052315547436,17.87075103711565,19.084849461383566,15.378963665330327,14.27019011648918,16.373499013311136,15.080212230158526,12.58282840889596,34.99490023154481,35.69663736055596
53,0.54,16.557153651910575,18.3398530965413,19.38739837763983,15.555301056388194,14.4121417186602,16.460589678837295,15.137190395564431,12.632815675970667,36.03125897431163,36.12515306957015
54,0.55,16.80009922630763,18.718962288674327,19.592737905605187,15.86491947772534,14.492523326051616,16.75632167872907,15.344543536374713,12.616520662450505,36.78031620002526,36.25161635638812
55,0.56,16.958129518080785,19.100504068597242,19.92338526726321,16.106344625521206,14.739520049587274,17.062750786623777,15.564306582034614,12.560628491331133,37.1942139486101,35.98497455804231
56,0.5700000000000001,17.02147154474177,19.500426875485985,20.37200281500682,16.34993637244834,14.837454804925605,17.284446444914295,15.81077781895038,12.720548340134277,36.91404965442817,36.40680311616846
57,0.5800000000000001,17.13806624274913,19.841056401427885,20.765103366659453,16.563712598594094,15.033850802219739,17.83739282725382,15.983281848853725,12.747378344292711,37.70393211663739,38.04915834542952
58,0.59,17.28772623702186,20.003346924397917,21.16694606362232,16.893813192420122,15.12265720241986,18.066612314750696,16.19880235263717,12.678751630689685,38.216987956900496,38.40771736173416
